TECH,YEAR,Cost ratio to 2018 [-],Investment cost [USD2018/kW],Accumulative installed capacity [GW],Annual Production [GWh]
RES_PV,2018,1.000,2704.85,58.00,
RES_PV,2019,0.927,2506.80,74.00,
RES_PV,2020,0.903,2442.72,93.00,
RES_PV,2021,0.692,1872.68,150.67,
RES_PV,2022,0.606,1639.53,208.35,
RES_PV,2023,0.548,1483.13,266.02,
RES_PV,2024,0.506,1368.42,323.70,
RES_PV,2025,0.473,1279.39,381.37,
RES_PV,2026,0.446,1207.57,439.05,
RES_PV,2027,0.424,1147.95,496.72,
RES_PV,2028,0.406,1097.36,554.39,
RES_PV,2029,0.390,1053.70,612.07,
RES_PV,2030,0.375,1015.48,669.74,
RES_PV,2031,0.358,968.80,751.15,
RES_PV,2032,0.343,928.75,832.56,
RES_PV,2033,0.330,893.88,913.96,
RES_PV,2034,0.319,863.13,995.37,
RES_PV,2035,0.309,835.74,1076.78,
RES_PV,2036,0.300,811.12,1158.18,
RES_PV,2037,0.292,788.83,1239.59,
RES_PV,2038,0.284,768.51,1321.00,
RES_PV,2039,0.277,749.88,1402.41,
RES_PV,2040,0.271,732.72,1483.81,
RES_PV,2041,0.267,723.41,1530.81,
RES_PV,2042,0.264,714.49,1577.81,
RES_PV,2043,0.261,705.94,1624.82,
RES_PV,2044,0.258,697.73,1671.82,
RES_PV,2045,0.255,689.83,1718.82,
RES_PV,2046,0.252,682.24,1765.82,
RES_PV,2047,0.250,674.93,1812.82,
RES_PV,2048,0.247,667.88,1859.82,
RES_PV,2049,0.244,661.07,1906.82,
RES_PV,2050,0.242,654.50,1953.82,
ONSHORE_WIND,2018,1.000,1520.39,541.000,
ONSHORE_WIND,2019,0.952,1447.57,595.000,
ONSHORE_WIND,2020,0.865,1315.53,698.000,
ONSHORE_WIND,2021,0.886,1347.82,903.212,
ONSHORE_WIND,2022,0.845,1284.84,1108.424,
ONSHORE_WIND,2023,0.812,1234.83,1313.635,
ONSHORE_WIND,2024,0.785,1193.64,1518.847,
ONSHORE_WIND,2025,0.762,1158.81,1724.059,
ONSHORE_WIND,2026,0.742,1128.75,1929.271,
ONSHORE_WIND,2027,0.725,1102.39,2134.482,
ONSHORE_WIND,2028,0.710,1078.99,2339.694,
ONSHORE_WIND,2029,0.696,1058.00,2544.906,
ONSHORE_WIND,2030,0.683,1038.99,2750.118,
ONSHORE_WIND,2031,0.672,1021.49,2957.488,
ONSHORE_WIND,2032,0.661,1005.44,3164.859,
ONSHORE_WIND,2033,0.652,990.64,3372.229,
ONSHORE_WIND,2034,0.643,976.91,3579.600,
ONSHORE_WIND,2035,0.634,964.14,3786.970,
ONSHORE_WIND,2036,0.626,952.20,3994.341,
ONSHORE_WIND,2037,0.619,941.00,4201.711,
ONSHORE_WIND,2038,0.612,930.47,4409.082,
ONSHORE_WIND,2039,0.605,920.53,4616.452,
ONSHORE_WIND,2040,0.599,911.12,4823.823,
ONSHORE_WIND,2041,0.593,902.20,5031.193,
ONSHORE_WIND,2042,0.588,893.73,5238.564,
ONSHORE_WIND,2043,0.583,885.65,5445.934,
ONSHORE_WIND,2044,0.577,877.95,5653.305,
ONSHORE_WIND,2045,0.573,870.59,5860.675,
ONSHORE_WIND,2046,0.568,863.54,6068.046,
ONSHORE_WIND,2047,0.564,856.79,6275.417,
ONSHORE_WIND,2048,0.559,850.30,6482.787,
ONSHORE_WIND,2049,0.555,844.07,6690.158,
ONSHORE_WIND,2050,0.551,838.07,6897.528,
WOOD_GASIFICATION,2018,,,,
WOOD_GASIFICATION,2019,,,,
WOOD_GASIFICATION,2020,,,,
WOOD_GASIFICATION,2021,,,,
WOOD_GASIFICATION,2022,,,,
WOOD_GASIFICATION,2023,,,,
WOOD_GASIFICATION,2024,,,,
WOOD_GASIFICATION,2025,,,,
WOOD_GASIFICATION,2026,,,,
