YEAR,TECHNOLOGY,MEAN,PERC_05,PERC_95
2010,UTILITY_PV,4593,3303,7693
2011,UTILITY_PV,3890,2531,7550
2012,UTILITY_PV,2933,2024,6476
2013,UTILITY_PV,2570,1650,5202
2014,UTILITY_PV,2323,1381,5125
2015,UTILITY_PV,1770,1171,4009
2016,UTILITY_PV,1609,1002,3173
2017,UTILITY_PV,1390,813,2926
2018,UTILITY_PV,1187,783,2698
2019,UTILITY_PV,980,697,2280
2020,UTILITY_PV,857,555,2278
2010,CSP,8830,4549,12182
2011,CSP,10403,7745,17306
2012,CSP,8040,6024,12719
2013,CSP,6307,3467,9306
2014,CSP,5414,2750,7027
2015,CSP,7232,3605,8783
2016,CSP,7602,3011,11126
2017,CSP,7196,3850,8733
2018,CSP,5161,3390,6745
2019,CSP,6466,3672,8450
2020,CSP,4448,4212,4962
2000,ONSHORE_WIND,2179,964,2457
2001,ONSHORE_WIND,2039,1153,3182
2002,ONSHORE_WIND,2019,1052,2380
2003,ONSHORE_WIND,1921,1383,2275
2004,ONSHORE_WIND,1932,1088,2575
2005,ONSHORE_WIND,1826,1150,2685
2006,ONSHORE_WIND,1862,1238,2668
2007,ONSHORE_WIND,1888,1069,2513
2008,ONSHORE_WIND,1983,1160,2731
2009,ONSHORE_WIND,2016,1254,2759
2010,ONSHORE_WIND,1915,1207,2704
2011,ONSHORE_WIND,1905,1217,2747
2012,ONSHORE_WIND,1938,1230,2857
2013,ONSHORE_WIND,1796,1181,2960
2014,ONSHORE_WIND,1750,1195,2949
2015,ONSHORE_WIND,1614,1171,2872
2016,ONSHORE_WIND,1607,1195,2544
2017,ONSHORE_WIND,1599,1149,2587
2018,ONSHORE_WIND,1521,1152,2343
2019,ONSHORE_WIND,1448,1088,2407
2020,ONSHORE_WIND,1310,1019,2209
2000,OFFSHORE_WIND,2517,2037,2677
2001,OFFSHORE_WIND,2344,2298,2571
2002,OFFSHORE_WIND,3379,3379,3379
2003,OFFSHORE_WIND,2697,997,2918
2004,OFFSHORE_WIND,3065,2116,5973
2005,OFFSHORE_WIND,2381,2381,2381
2006,OFFSHORE_WIND,2667,2042,2683
2007,OFFSHORE_WIND,4376,2862,6761
2008,OFFSHORE_WIND,5352,4840,5652
2009,OFFSHORE_WIND,4326,3031,5869
2010,OFFSHORE_WIND,4569,2964,6315
2011,OFFSHORE_WIND,5233,2960,6664
2012,OFFSHORE_WIND,4631,2997,5797
2013,OFFSHORE_WIND,4894,2107,5739
2014,OFFSHORE_WIND,5153,2194,6372
2015,OFFSHORE_WIND,5168,2983,6304
2016,OFFSHORE_WIND,3981,2743,4453
2017,OFFSHORE_WIND,4573,2726,5385
2018,OFFSHORE_WIND,4493,2124,5502
2019,OFFSHORE_WIND,3615,2862,5826
2020,OFFSHORE_WIND,3092,2611,5427
2010,HYDRO,1232,789,2871
2011,HYDRO,1215,834,2668
2012,HYDRO,1298,859,3307
2013,HYDRO,1468,862,3398
2014,HYDRO,1682,918,4313
2015,HYDRO,1480,927,4323
2016,HYDRO,1753,836,5389
2017,HYDRO,1799,928,6570
2018,HYDRO,1410,889,3852
2019,HYDRO,1674,1019,3850
2020,HYDRO,1816,1097,6963
2007,GEOTHERMAL,2050,2050,2050
2008,GEOTHERMAL,1930,1323,2250
2009,GEOTHERMAL,5412,3373,34174
2010,GEOTHERMAL,2544,1613,4494
2012,GEOTHERMAL,5162,2936,12954
2013,GEOTHERMAL,3716,2109,12063
2014,GEOTHERMAL,3508,1924,8279
2015,GEOTHERMAL,3435,2329,7038
2016,GEOTHERMAL,3608,2305,6895
2017,GEOTHERMAL,3762,1765,6619
2018,GEOTHERMAL,4098,3141,8211
2019,GEOTHERMAL,3852,1986,10085
2020,GEOTHERMAL,4338,2625,5617
