Technology,LC form,a,b,c,d,m
ONSHORE_WIND,Wright,8.796934102 ,-0.23372041642,,,
ONSHORE_WIND,S-curve,925.046,-0.952119,1541860,,0.00001
ONSHORE_WIND,Plateau,-93790,-0.00464832,98126.3,,
ONSHORE_WIND,Boone,318.855,0.433299,710.588,,
ONSHORE_WIND,Sigmoid,-402.948,0.248604,0.00306802,2424.74,
OFFSHORE_WIND,Wright,8.6727300001 ,-0.082782393429,,,
OFFSHORE_WIND,S-curve,39.044,-0.753406,75512.1,,0.01
OFFSHORE_WIND,Plateau,-2542720,-0.000237226,2548730,,
OFFSHORE_WIND,Boone,2056.2,1.1038,5.48602,,
OFFSHORE_WIND,Sigmoid,-41.4735,0.0124478,0.139421,5068.03,
RES_PV,Wright,9.5926123108 ,-0.41025634487,,,
RES_PV,S-curve,-16.7344,-0.221337,6299.02,,0.001
RES_PV,Plateau,1771.71,-0.901657,38494.7,,
RES_PV,Boone,1785.28,5.15951,1.23122,,
RES_PV,Sigmoid,-246077,7.62656,0.039439,34588.5,
UTILITY_PV,Wright,9.2414956077 ,-0.36978581295,,,
UTILITY_PV,S-curve,12.4947,-0.515134,21819.2,,0.0001
UTILITY_PV,Plateau,0.001,-0.372872,10509.1,,
UTILITY_PV,Boone,954.785,1.2612,11.6262,,
UTILITY_PV,Sigmoid,-1761780,21.3636,0.0174476,83598.3,
COMMERCIAL_PV,Wright,12.145557598 ,-1.0221094451,,,
COMMERCIAL_PV,S-curve,-16.8468,-0.574336,18146.3,,0.0368012
COMMERCIAL_PV,Plateau,1591.23,-1.84342,1846710,,
COMMERCIAL_PV,Boone,991.087,6763.42,0.00215992,,
COMMERCIAL_PV,Sigmoid,-302159,3.19582,0.0698174,96463.9,
DEC_SOLAR,Wright,9.2176319436 ,-0.23914138084,,,
DEC_SOLAR,S-curve,14.6125,-2.05349,2740380,,0.0001
DEC_SOLAR,Plateau,0.001,-0.32745,10727.2,,
DEC_SOLAR,Boone,10727.2,-0.32745,5249330000,,
DEC_SOLAR,Sigmoid,-385294,5.55687,0.127907,69698,
ALKALINE_ELECTROLYSIS,Wright,6.8261573831 ,-0.10563795844,,,
ALKALINE_ELECTROLYSIS,S-curve,-0.0886337,-0.129458,744.529,,0.488405
ALKALINE_ELECTROLYSIS,Plateau,602.944,-3.22207,0.306414,,
ALKALINE_ELECTROLYSIS,Boone,481.97,-371.885,0.000100893,,
ALKALINE_ELECTROLYSIS,Sigmoid,-58075.6,8.1034,0.00809268,7616.65,
PEM_ELECTROLYSIS,Wright,6.007972009,-0.38553058074,,,
PEM_ELECTROLYSIS,S-curve,-0.0031024,-0.446522,648.199,,0.682924
PEM_ELECTROLYSIS,Plateau,724.992,-0.842111,34.5706,,
PEM_ELECTROLYSIS,Boone,193.247,-0.553199,10.9326,,
PEM_ELECTROLYSIS,Sigmoid,-346.864,0.102545,259.232,4509.56,
SOEC_ELECTROLYSIS,Wright,3.4348036762,-0.63242278873,,,
SOEC_ELECTROLYSIS,S-curve,-0.000001,-0.486013,82.7688,,0.01
SOEC_ELECTROLYSIS,Plateau,0.000001,-0.488512,80.6031,,
SOEC_ELECTROLYSIS,Boone,624.378,-0.287499,0.00165483,,
SOEC_ELECTROLYSIS,Sigmoid,-62.0136,0.0081406,14141.1,8887.5,
DHN_HP_ELEC,Wright,8.3956,-0.5971,,,
DHN_HP_ELEC,S-curve,0.305167,-3.00134,5096.74,,0.789078
DHN_HP_ELEC,Plateau,0.001,-0.501507,5571.67,,
DHN_HP_ELEC,Boone,5571.67,-0.501507,10094400,,
DHN_HP_ELEC,Sigmoid,-8113870,14.9276,8.35587,548885,
GEOTHERMAL,Wright,6.8365729627,0.54978972186,,,
GEOTHERMAL,S-curve,67.1816,2.71765,0.172752,,0.84775
GEOTHERMAL,Plateau,-34284.7,0.0409925,34407.3,,
GEOTHERMAL,Boone,7597.11,-81.6475,0.0409338,,
GEOTHERMAL,Sigmoid,0.0395233,1.00E-05,1.32457,-1.14249,
CARBON_CAPTURE,Wright,4.7242033781 ,-0.13316823733,,,
CARBON_CAPTURE,S-curve,646.937,-0.706259,7661.12,,0.001
CARBON_CAPTURE,Plateau,-44898.2,-0.000189357,45008.9,,
CARBON_CAPTURE,Boone,21.0034,0.485299,312.388,,
CARBON_CAPTURE,Sigmoid,261173,5837.89,-0.00954655,40.383,
HYDRO_TOTAL,Wright,-3.4755930347,1.5274560214,,,
HYDRO_TOTAL,S-curve,-116.57,1.24005,0.265431,,0.001
HYDRO_TOTAL,Plateau,-5750.07,0.286223,958.715,,
HYDRO_TOTAL,Boone,7423.45,-870.903,0.305302,,
HYDRO_TOTAL,Sigmoid,-631997,236.216,-0.00639458,1843.58,
